date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:04	51616/51616	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:02%20GMT	https://colorlib.com/polygon/adminator/index.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/index.html	(from )
10:39:05	161/161	---MCZ	200	added ('OK')	text/plain	etag:W/%22659fc798-11b%22	https://colorlib.com/robots.txt		(from )
10:39:06	1883/1883	---M--	200	added ('OK')	image/png	etag:%2266447b70-4569%22	https://colorlib.com/polygon/adminator/assets/static/images/logo.png	D:/YASH/ADMIN/colorlib.com/polygon/adminator/assets/static/images/logo.png	(from https://colorlib.com/polygon/adminator/index.html)
10:39:06	7544451/7544451	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266447b73-731e83%22	https://colorlib.com/polygon/adminator/main.js	D:/YASH/ADMIN/colorlib.com/polygon/adminator/main.js	(from https://colorlib.com/polygon/adminator/index.html)
10:39:07	49610/49610	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:02%20GMT	https://colorlib.com/polygon/adminator/email.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/email.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:07	27191/27191	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:01%20GMT	https://colorlib.com/polygon/adminator/compose.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/compose.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:08	30397/30397	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:01%20GMT	https://colorlib.com/polygon/adminator/calendar.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/calendar.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:08	32418/32418	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:01%20GMT	https://colorlib.com/polygon/adminator/chat.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/chat.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:09	26441/26441	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:01%20GMT	https://colorlib.com/polygon/adminator/charts.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/charts.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:09	34801/34801	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:02%20GMT	https://colorlib.com/polygon/adminator/forms.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/forms.html	(from https://colorlib.com/polygon/adminator/index.html)
